gebied_niveau;gebied_code;gebied_naam;peildatum_gebiedsindeling;peildatum_gegevens;gem_afstand_naar_alle_groen;gem_afstand_naar_gedenkpark;gem_afstand_naar_landschap;gem_afstand_naar_natuurgebied;gem_afstand_naar_natuurpark;gem_afstand_naar_parkachtig_groen;gem_afstand_naar_sportpark;gem_afstand_naar_stadspark;gem_afstand_naar_stadsplantsoen;gem_afstand_naar_tuinpark
buurt;AA01;Planciusbuurt-Noord;20220324;20230101;390;1779;4132;7142;3768;528;1330;528;390;1556
buurt;AA02;Westelijke eilanden;20220324;20230101;356;1993;4403;7412;3613;597;1545;741;356;1762
buurt;AA03;Westerdokseiland;20220324;20230101;406;2497;4592;7601;3023;406;2087;1180;406;2057
buurt;AA04;Planciusbuurt-Zuid;20220324;20230101;132;1499;4422;7431;3657;269;1065;269;132;1345
buurt;AA05;Haarlemmerbuurt-West;20220324;20230101;446;1816;4674;7683;3341;589;1388;589;446;1666
buurt;AA06;Haarlemmerbuurt-Oost;20220324;20230101;885;2296;5037;7908;2933;979;1864;1026;885;2055
buurt;AB01;Marnixbuurt-Noord;20220324;20230101;128;1691;4859;7869;3885;380;1310;351;142;1663
buurt;AB02;Driehoekbuurt;20220324;20230101;318;1875;4943;7952;3568;699;1473;652;318;1826
buurt;AB03;Anjeliersbuurt-Noord;20220324;20230101;449;2021;5159;8169;3596;855;1636;617;454;2013
buurt;AB04;Zaagpoortbuurt;20220324;20230101;195;1944;5432;8441;4138;462;1664;384;207;2027
buurt;AB05;Anjeliersbuurt-Zuid;20220324;20230101;489;2106;5397;8407;3769;768;1785;548;500;2145
buurt;AB06;Marnixbuurt-Midden;20220324;20230101;190;2172;5586;8848;4367;780;1633;691;190;2299
buurt;AB07;Bloemgrachtbuurt;20220324;20230101;377;2261;5669;8715;3989;1110;1834;719;377;2247
buurt;AB08;Groenmarktkadebuurt;20220324;20230101;376;2353;5458;9034;4474;961;1803;872;376;2448
buurt;AB09;Marnixbuurt-Zuid;20220324;20230101;464;2925;4872;9257;4553;464;1450;735;464;2210
buurt;AB10;Elandsgrachtbuurt;20220324;20230101;612;2604;5389;8940;4150;1240;1914;1030;612;2181
buurt;AB11;Passeerdersgrachtbuurt;20220324;20230101;596;2981;4909;9053;4340;596;1588;830;596;2016
buurt;AC01;Langestraat e.o.;20220324;20230101;965;2489;5234;8062;3106;1189;2016;1091;965;2070
buurt;AC02;Leliegracht e.o.;20220324;20230101;926;2572;5524;8294;3401;2146;1981;1026;926;1910
buurt;AC03;Felix Meritisbuurt;20220324;20230101;942;2902;5313;8569;3774;1165;1938;1222;942;1806
buurt;AC04;Leidsegracht-Noord;20220324;20230101;774;3204;4945;8767;4063;774;1790;983;774;1727
buurt;AD01;Stationsplein e.o.;20220324;20230101;829;3014;4817;7294;2474;829;1542;905;829;1617
buurt;AD02;Hemelrijk;20220324;20230101;946;2682;4951;7687;2746;946;1894;1023;946;1809
buurt;AD03;Nieuwendijk-Noord;20220324;20230101;963;2850;4963;7549;2737;963;1711;1039;963;1607
buurt;AD04;Spuistraat-Noord;20220324;20230101;1164;2827;5219;7906;3014;1452;1836;1247;1164;1703
buurt;AD05;Nieuwe Kerk e.o.;20220324;20230101;1203;2970;5211;7780;2976;1211;1682;1280;1203;1550
buurt;AD06;Spuistraat-Zuid;20220324;20230101;1173;3187;5218;8281;3490;1217;1663;1394;1173;1517
buurt;AD07;Begijnhofbuurt;20220324;20230101;1182;3317;5085;8208;3423;1281;1518;1308;1189;1375
buurt;AD08;Kalverdriehoek;20220324;20230101;931;3598;4794;8270;3642;940;1445;1087;931;1218
buurt;AE01;Kop Zeedijk;20220324;20230101;1114;3150;4936;7312;2517;1129;1379;1173;1122;1292
buurt;AE02;Oude Kerk e.o.;20220324;20230101;1194;3254;5241;7633;2838;1571;1359;1206;1227;1226
buurt;AE03;Burgwallen-Oost;20220324;20230101;1010;3432;5200;7603;2809;2076;1157;1010;1056;1024
buurt;AE04;Nes e.o.;20220324;20230101;1104;3382;5149;7978;3201;2471;1274;1127;1134;1143
buurt;AE05;BG-terrein e.o.;20220324;20230101;935;3590;5020;7915;3207;2287;1132;984;960;987
buurt;AF01;Oosterdokseiland;20220324;20230101;1025;3530;4763;6773;2345;1042;1085;1312;1042;1368
buurt;AF02;Lastage;20220324;20230101;1005;3509;5023;7260;2605;1596;1069;1043;1055;1064
buurt;AF03;Scheepvaarthuisbuurt;20220324;20230101;845;3655;5036;7113;2625;1519;845;955;1134;1035
buurt;AF04;Rapenburg;20220324;20230101;438;3866;4902;6782;3018;1510;438;548;753;605
buurt;AF05;Nieuwmarkt;20220324;20230101;791;3667;5246;7430;2832;2673;930;791;845;805
buurt;AF06;Uilenburg;20220324;20230101;529;3940;5229;7110;3137;2480;587;575;685;618
buurt;AF07;Valkenburg;20220324;20230101;228;3777;5074;6954;3346;1343;269;287;438;345
buurt;AF08;Zuiderkerkbuurt;20220324;20230101;712;3787;5135;7672;3104;2913;895;747;739;755
buurt;AF09;Waterloopleinbuurt;20220324;20230101;318;3906;5176;7397;3384;1626;567;419;329;378
buurt;AG01;Leidsegracht-Zuid;20220324;20230101;619;3376;4773;8668;4084;619;1621;828;619;1601
buurt;AG02;Geelvinckbuurt;20220324;20230101;818;3661;4638;8282;3779;820;1455;948;818;1214
buurt;AG03;Rembrandtplein e.o.;20220324;20230101;640;3811;4746;7858;3602;1364;1031;738;647;795
buurt;AG04;Spiegelbuurt;20220324;20230101;534;3577;4473;8606;4198;534;1632;722;534;1610
buurt;AG05;Vijzelstraatbuurt;20220324;20230101;502;3595;4281;8188;4041;513;1536;534;523;1292
buurt;AG06;Amstelveldbuurt;20220324;20230101;377;3457;4517;7749;3933;434;1116;382;421;859
buurt;AH01;Leidsebuurt-Noordwest;20220324;20230101;322;3211;4582;8957;4399;322;1376;533;322;1890
buurt;AH02;Leidsebuurt-Noordoost;20220324;20230101;338;3421;4301;8778;4432;338;1431;445;338;1747
buurt;AH03;Weteringbuurt;20220324;20230101;267;3411;4028;8240;4311;277;1705;329;282;1416
buurt;AH04;Utrechtsebuurt-Zuid;20220324;20230101;176;3252;4316;7715;4158;227;1280;176;238;1010
buurt;AH05;Leidsebuurt-Zuidwest;20220324;20230101;211;3171;4608;9152;4567;211;1267;437;211;2066
buurt;AH06;Leidsebuurt-Zuidoost;20220324;20230101;201;3289;4197;8740;4558;199;1302;303;201;1660
buurt;AH07;Den Texbuurt;20220324;20230101;111;3252;3837;8111;4484;111;1791;231;123;1299
buurt;AH08;Frederikspleinbuurt;20220324;20230101;182;3032;4091;7699;4379;190;1578;206;218;1287
buurt;AJ01;Weesperbuurt;20220324;20230101;360;3523;4847;7150;3923;909;700;550;360;442
buurt;AJ02;Plantage;20220324;20230101;105;3198;4772;6653;3822;754;443;348;226;153
buurt;AJ03;Sarphatistrook;20220324;20230101;400;3125;4572;6873;4265;405;1015;431;512;660
buurt;AJ04;Alexanderplein e.o.;20220324;20230101;214;2674;4263;6143;3838;235;1038;235;555;226
buurt;AK01;Marine-Etablissement;20220324;20230101;515;4002;4135;6015;2794;1154;515;1505;1070;1479
buurt;AK02;Kattenburg;20220324;20230101;285;3856;4203;6083;3289;1507;285;1105;529;989
buurt;AK03;Wittenburg;20220324;20230101;338;3681;4158;6039;3497;1397;516;1264;345;939
buurt;AK04;Oostenburg;20220324;20230101;214;3358;3565;5446;3140;456;994;847;214;884
buurt;AK05;Czaar Peterbuurt;20220324;20230101;149;3261;3308;5189;2891;163;1220;570;149;783
buurt;AK06;Het Funen;20220324;20230101;127;3146;3335;5216;2990;128;1389;534;127;861
buurt;AK07;Kadijken;20220324;20230101;302;3276;4405;6285;3537;967;626;654;595;303
buurt;AK08;Kazernebuurt;20220324;20230101;262;2704;4002;5882;3587;387;1203;410;497;270
buurt;BA01;Afrikahaven;20220324;20230101;85;2997;2925;2485;1292;1127;85;1127;187;3615
buurt;BA02;Amerikahaven;20220324;20230101;;;;;;;;;;
buurt;BA03;Westhaven-Noord;20220324;20230101;1338;2639;6082;5568;3727;2218;3083;2218;2069;2163
buurt;BA04;Petroleumhaven;20220324;20230101;2797;3271;7271;6407;5439;3258;3343;3258;3316;2902
buurt;BA05;Vervoerscentrum;20220324;20230101;;;;;;;;;;
buurt;BA06;Westhaven-Zuid;20220324;20230101;394;2168;2955;7847;1082;504;1060;504;860;1155
buurt;BB01;Coenhaven;20220324;20230101;2942;2974;7464;8557;5673;2942;2981;2942;3567;3153
buurt;BB02;Vlothaven;20220324;20230101;;;;;;;;;;
buurt;BB03;Minervahaven-Noordoost;20220324;20230101;749;1597;4679;7688;4494;770;1604;754;1265;871
buurt;BB04;Minervahaven-Noordwest;20220324;20230101;684;788;5458;8226;4277;684;795;684;1309;895
buurt;BB05;Minervahaven-Zuidwest;20220324;20230101;;;;;;;;;;
buurt;BB06;Minervahaven-Zuidoost;20220324;20230101;662;1721;4506;7515;4321;662;1775;662;1138;894
buurt;BB07;Alfa-driehoek;20220324;20230101;;;;;;;;;;
buurt;BB08;Hemknoop-Noord;20220324;20230101;;;;;;;;;;
buurt;EA01;Isolatorbuurt;20220324;20230101;579;958;4973;8338;3182;579;773;579;1439;1125
buurt;EA02;Contactbuurt;20220324;20230101;567;790;4485;8595;2698;665;946;665;1104;658
buurt;EA03;Woon- en Groengebied Sloterdijk;20220324;20230101;235;434;4149;9103;2394;742;1422;1065;778;242
buurt;EB01;Hemknoop-Zuid;20220324;20230101;;;;;;;;;;
buurt;EB02;Overbraker Binnenpolder;20220324;20230101;76;149;5383;8411;3662;150;355;150;1236;562
buurt;EB03;Zaanstraat emplacement;20220324;20230101;;;;;;;;;;
buurt;EB04;Spaarndammerbuurt-Noordwest;20220324;20230101;151;960;4477;7487;4255;223;1033;223;326;267
buurt;EB05;Spaarndammerbuurt-Midden;20220324;20230101;127;1205;4316;7326;4131;247;1152;247;166;499
buurt;EB06;Spaarndammerbuurt-Zuidwest;20220324;20230101;143;1294;4323;7333;4134;246;920;246;154;725
buurt;EB07;Spaarndammerbuurt-Noordoost;20220324;20230101;219;1529;3935;6945;3750;232;1199;232;387;938
buurt;EB08;Zeeheldenbuurt;20220324;20230101;403;2051;3955;6965;3689;403;1650;679;409;1419
buurt;EB09;Westergasfabriek;20220324;20230101;34;251;5054;8443;3348;34;521;34;1189;427
buurt;EB10;Spaarndammerbuurt-Zuidoost;20220324;20230101;174;1406;4113;7122;3918;277;1005;277;174;1077
buurt;EC01;Houthavens-West;20220324;20230101;278;1471;4125;7135;3940;286;1464;278;752;682
buurt;EC02;Houthavens-Oost;20220324;20230101;343;2361;4209;7218;3701;343;2029;952;346;1692
buurt;ED01;Kolenkitbuurt-Noord;20220324;20230101;335;1133;3648;9441;1967;351;874;531;390;510
buurt;ED02;Kolenkitbuurt-Zuid;20220324;20230101;218;1534;3685;9818;2021;325;488;312;256;421
buurt;ED03;Laan van Spartaan;20220324;20230101;131;1950;3711;10212;2315;481;179;456;248;760
buurt;ED04;Robert Scottbuurt-West;20220324;20230101;301;1561;4063;10158;2425;401;577;401;313;771
buurt;EE01;Bosleeuw;20220324;20230101;306;919;4133;9674;2444;317;1017;581;313;775
buurt;EE02;Gibraltarbuurt;20220324;20230101;436;712;4340;9366;2633;528;1090;782;529;506
buurt;EE03;Bedrijventerrein Landlust;20220324;20230101;427;616;4793;9238;3087;555;1047;684;691;677
buurt;EE04;Landlust-Noord;20220324;20230101;447;947;4790;9570;3084;447;707;613;447;875
buurt;EE05;Erasmusparkbuurt-Oost;20220324;20230101;223;1410;4879;9818;3208;261;291;368;294;1229
buurt;EE06;Landlust-Zuid;20220324;20230101;272;1416;5135;9661;3448;277;469;595;277;1324
buurt;EF01;Robert Scottbuurt-Oost;20220324;20230101;151;1744;4385;10404;2767;157;384;159;188;875
buurt;EF02;Erasmusparkbuurt-West;20220324;20230101;134;1342;4426;10029;2758;185;596;233;144;1061
buurt;EG01;Bedrijvencentrum Westerkwartier;20220324;20230101;271;308;5084;8768;3378;397;890;397;1167;788
buurt;EG02;GWL-terrein;20220324;20230101;279;585;5319;8342;3716;279;537;279;869;724
buurt;EG03;Markthallen;20220324;20230101;158;1306;5837;8890;4182;437;961;795;158;1543
buurt;EG04;Marcanti;20220324;20230101;209;1532;5841;9091;4206;341;923;908;209;1771
buurt;EH01;Westerstaatsman;20220324;20230101;411;824;5246;8256;3955;411;676;415;673;911
buurt;EH02;Fannius Scholtenbuurt;20220324;20230101;336;975;4996;8005;4101;336;731;338;592;1019
buurt;EH03;Staatsliedenbuurt-Noordoost;20220324;20230101;231;1133;4712;7722;4068;258;714;258;340;1118
buurt;EH04;De Wittenbuurt-Noord;20220324;20230101;222;1375;4589;7598;3933;330;953;334;222;1336
buurt;EH05;De Wittenbuurt-Zuid;20220324;20230101;339;1340;4874;7883;4190;452;996;479;339;1375
buurt;EH06;Buyskade e.o.;20220324;20230101;374;1150;5459;8469;4279;425;1045;468;374;1283
buurt;EJ01;Frederik Hendrikbuurt-Noord;20220324;20230101;143;1542;5318;8328;4363;186;1322;192;157;1610
buurt;EJ02;Frederik Hendrikbuurt-Zuidwest;20220324;20230101;214;1725;5904;8977;4538;670;1254;718;214;1884
buurt;EJ03;Frederik Hendrikbuurt-Zuidoost;20220324;20230101;224;1825;5801;8836;4540;571;1339;562;224;1965
buurt;EK01;Mercatorpark;20220324;20230101;204;2197;4179;10746;2969;297;204;367;297;403
buurt;EK02;Orteliusbuurt-Noord;20220324;20230101;195;2068;4492;10568;3080;208;318;208;376;576
buurt;EK03;Jan Maijenbuurt;20220324;20230101;200;2082;4683;10332;3147;200;514;200;379;772
buurt;EK04;John Franklinbuurt;20220324;20230101;222;2042;4904;10140;3352;222;578;222;512;982
buurt;EL01;Pieter van der Doesbuurt;20220324;20230101;286;1936;5164;9890;3604;368;375;368;425;1228
buurt;EL02;Trompbuurt;20220324;20230101;238;1904;5456;9658;3874;386;557;648;242;1495
buurt;EL03;Geuzenhofbuurt;20220324;20230101;251;1925;5716;9564;4154;356;844;935;251;1689
buurt;EM01;Orteliusbuurt-Midden;20220324;20230101;131;2383;4733;10813;3417;131;619;131;464;522
buurt;EM02;Balboaplein e.o.;20220324;20230101;414;2392;4965;10511;3539;415;798;415;637;816
buurt;EM03;Orteliusbuurt-Zuid;20220324;20230101;170;2278;5045;10958;3619;170;958;170;622;738
buurt;EM04;Columbusplein e.o.;20220324;20230101;481;2325;5310;10695;3694;481;1137;481;836;1027
buurt;EN01;Filips van Almondekwartier;20220324;20230101;456;2293;5278;10210;3839;653;772;653;456;1149
buurt;EN02;Kortenaerkwartier;20220324;20230101;288;2271;5524;10013;4070;866;819;878;288;1393
buurt;EN03;Van Brakelkwartier;20220324;20230101;698;2405;5536;10438;3821;753;1063;753;735;1337
buurt;EN04;De Wester Quartier;20220324;20230101;515;2473;5656;10210;3989;912;1041;912;515;1467
buurt;EP01;Bellamybuurt-Noord;20220324;20230101;149;2398;5710;9677;4412;1143;1194;1143;149;1820
buurt;EP02;Bellamybuurt-Zuid;20220324;20230101;315;2618;5584;10025;4165;906;1083;906;315;1887
buurt;EQ01;Da Costabuurt-Noord;20220324;20230101;344;2377;5478;9309;4652;980;1515;952;344;2234
buurt;ER01;Postjeskade e.o.;20220324;20230101;173;1695;5381;11292;3101;205;1339;205;358;1242
buurt;ER02;Paramariboplein e.o.;20220324;20230101;482;1766;5568;10993;3163;512;1280;512;599;1394
buurt;ES01;Lootsbuurt;20220324;20230101;593;2278;5541;10559;3674;705;772;705;614;1673
buurt;ES02;Borgerbuurt;20220324;20230101;356;2648;5355;10113;4068;704;914;704;356;2019
buurt;ES03;Da Costabuurt-Zuid;20220324;20230101;544;2748;5111;9575;4564;662;1306;802;544;2464
buurt;ET01;Cremerbuurt-West;20220324;20230101;356;1900;5267;10673;3296;372;546;372;540;1986
buurt;ET02;Vondelparkbuurt-West;20220324;20230101;107;1596;5089;10679;2993;107;524;107;544;1812
buurt;EU01;Cremerbuurt-Oost;20220324;20230101;211;2297;5191;10296;3693;409;473;409;221;2091
buurt;EU02;WG-terrein;20220324;20230101;204;2655;4958;9910;4052;399;740;399;218;2347
buurt;EU03;Helmersbuurt-Oost;20220324;20230101;343;3008;4842;9500;4505;347;1069;547;344;2337
buurt;EV01;Vondelparkbuurt-Midden;20220324;20230101;158;2434;4786;9871;3830;158;453;158;435;2349
buurt;EV02;Vondelparkbuurt-Oost;20220324;20230101;148;2898;4539;9324;4294;148;807;207;253;2074
buurt;FA01;Sloterdijk De Heining;20220324;20230101;84;2900;2825;4536;84;84;2214;2828;153;1439
buurt;FA02;Sloterdijk Poort-Noord;20220324;20230101;1151;4285;3242;6047;1591;1151;2525;2034;1151;2620
buurt;FA03;Sloterdijk Poort-Zuid;20220324;20230101;625;3329;2588;5538;642;625;2950;2202;660;963
buurt;FA04;Sloterdijk Rhônepark;20220324;20230101;211;1618;3256;8193;1382;211;1271;211;669;1367
buurt;FA05;Sloterdijk Donauhoek;20220324;20230101;225;1738;4217;7791;2316;985;1727;985;225;1686
buurt;FA06;Bretten-West;20220324;20230101;;;;;;;;;;
buurt;FA07;Bretten-Oost;20220324;20230101;;;;;;;;;;
buurt;FA08;Sloterdijk Stationskwartier;20220324;20230101;636;1008;3211;8519;1350;857;719;636;813;1115
buurt;FB01;Osdorper Binnenpolder;20220324;20230101;322;1497;393;6478;1096;912;1403;1256;1499;1498
buurt;FB02;De Eendracht;20220324;20230101;168;2693;270;7814;1289;792;413;359;314;884
buurt;FB03;Ruys de Beerenbrouckbuurt;20220324;20230101;274;3217;832;7784;581;306;1018;311;403;901
buurt;FB04;Eendrachtspark;20220324;20230101;141;2905;1259;7795;588;141;1077;144;241;696
buurt;FB05;Van Tijenbuurt;20220324;20230101;228;2655;718;8437;1346;701;572;444;291;968
buurt;FB06;Dudokbuurt;20220324;20230101;420;2981;921;8235;1029;535;731;530;452;838
buurt;FB07;Bakemabuurt;20220324;20230101;226;3088;1263;8171;965;226;768;457;228;458
buurt;FB08;Wegener Sleeswijkbuurt;20220324;20230101;222;2756;1246;8512;1306;246;405;411;249;685
buurt;FC01;Jan de Louterbuurt;20220324;20230101;189;2524;1898;8454;558;189;767;223;266;666
buurt;FC02;Lodewijk van Deysselbuurt;20220324;20230101;247;3007;2019;8716;1102;247;1224;272;298;559
buurt;FC03;Confuciusbuurt;20220324;20230101;311;3063;1913;8973;1499;316;1074;365;483;764
buurt;FD01;Arondeusbuurt;20220324;20230101;322;1961;2273;8821;582;494;557;372;594;742
buurt;FD02;Coronelbuurt;20220324;20230101;294;1118;2983;8923;1278;680;676;294;678;745
buurt;FD03;Meerwaldtbuurt;20220324;20230101;190;1501;3015;9230;1326;385;863;202;435;457
buurt;FD04;Dobbebuurt;20220324;20230101;130;1897;2883;9329;1219;208;889;198;199;627
buurt;FE01;Dichtersbuurt;20220324;20230101;366;2560;2478;9185;1118;384;1158;384;442;1081
buurt;FE02;Louis Couperusbuurt;20220324;20230101;310;2230;3090;9773;1680;360;634;359;421;948
buurt;FE03;Noordoever Sloterplas;20220324;20230101;153;2682;2836;9788;1784;182;771;172;756;1251
buurt;FE04;Sloterpark;20220324;20230101;;;;;;;;;;
buurt;FF01;Osdorper Bovenpolder;20220324;20230101;258;1095;312;7362;1327;819;1238;996;1275;1062
buurt;FF02;Ookmeer;20220324;20230101;229;1735;940;9193;2213;713;229;684;911;1541
buurt;FF03;Bedrijvenpark Lutkemeer;20220324;20230101;126;178;322;8758;2610;567;997;1653;525;1043
buurt;FG01;Middelveldsche Akerpolder;20220324;20230101;157;729;1396;9738;1810;1193;724;1168;159;1769
buurt;FG02;De Aker-West;20220324;20230101;334;1039;1429;9714;2001;1408;1066;1503;334;1635
buurt;FG03;De Aker-Oost;20220324;20230101;274;1159;2022;10388;1027;791;1315;786;274;1391
buurt;FH01;Bedrijvencentrum Osdorp;20220324;20230101;211;429;211;8597;2326;722;746;599;732;1840
buurt;FH02;Dijkgraafpleinbuurt;20220324;20230101;404;714;941;9326;1718;646;754;602;526;2079
buurt;FJ01;Reimerswaal;20220324;20230101;293;877;452;8843;2174;361;704;412;361;2005
buurt;FJ02;Botteskerkbuurt;20220324;20230101;118;1116;859;9247;1737;167;1071;147;157;2280
buurt;FJ03;Zuidwestkwadrant-Noord;20220324;20230101;242;1473;1247;9635;1330;243;1406;249;292;1983
buurt;FJ04;Zuidwestkwadrant-Zuid;20220324;20230101;195;1305;1715;10103;848;200;1612;207;246;1490
buurt;FK01;Wildeman;20220324;20230101;384;1557;1179;9567;2391;475;577;509;481;2199
buurt;FK02;Meer en Oever;20220324;20230101;160;2005;1605;9903;2553;300;422;300;290;1915
buurt;FK03;Osdorpplein e.o.;20220324;20230101;252;2016;1759;10148;1885;337;1200;337;267;2230
buurt;FK04;Calandlaan/Lelylaan;20220324;20230101;115;2036;2042;10430;1578;298;1503;310;115;1910
buurt;FK05;Osdorp-Zuidoost;20220324;20230101;264;2167;2548;10936;1730;310;1615;299;322;1739
buurt;FL01;Oostoever Sloterplas;20220324;20230101;209;2965;3793;10806;2799;284;744;284;280;1112
buurt;FL02;Emanuel van Meterenbuurt;20220324;20230101;325;2916;3469;11482;2816;325;1591;325;662;1062
buurt;FL03;Jacob Geelbuurt;20220324;20230101;483;2634;3888;11406;2865;660;1230;679;638;684
buurt;FM01;Lucas/Andreasziekenhuis e.o.;20220324;20230101;294;2263;3772;10524;2558;681;294;748;521;964
buurt;FM02;Overtoomse Veld-Noord;20220324;20230101;302;2666;4096;11079;3031;361;522;447;362;674
buurt;FM03;Rembrandtpark-Noord;20220324;20230101;68;2408;4522;11428;3456;68;858;160;69;466
buurt;FM04;Overtoomse Veld-Zuid;20220324;20230101;294;2298;4529;11638;3368;371;1010;438;384;467
buurt;FM05;Rembrandtpark-Zuid;20220324;20230101;52;2038;4863;11667;3455;52;1237;152;52;739
buurt;FM06;Johan Jongkindbuurt;20220324;20230101;285;1982;4310;11986;3045;412;1354;643;412;340
buurt;FN01;Louis Crispijnbuurt;20220324;20230101;348;2505;3412;11841;2251;429;2145;348;444;1323
buurt;FN02;Jacques Veldmanbuurt;20220324;20230101;662;1986;3801;12252;2201;684;1917;841;685;945
buurt;FN03;Medisch Centrum Slotervaart;20220324;20230101;140;1814;2564;12503;1249;140;1437;140;296;1007
buurt;FN04;Staalmanbuurt;20220324;20230101;619;1527;3256;12703;1585;625;1939;668;783;1498
buurt;FP01;Schipluidenbuurt;20220324;20230101;392;1847;4211;12091;2784;403;1584;917;403;516
buurt;FP02;Koningin Wilhelminaplein;20220324;20230101;139;1369;4268;12357;2473;139;1972;888;139;999
buurt;FP03;Andreasterrein;20220324;20230101;207;1338;4965;11742;2748;207;1634;221;277;1068
buurt;FP04;Delflandpleinbuurt-West;20220324;20230101;633;955;3686;12528;1932;648;1507;1052;648;1545
buurt;FP05;Delflandpleinbuurt-Oost;20220324;20230101;580;596;4137;12085;1774;762;1398;934;762;1637
